date,user
2019-07-12,3143
2019-07-13,4547
2019-07-14,4204
2019-07-15,1803
2019-07-16,2475
2019-07-17,2482
2019-07-18,2468
2019-07-19,2173
2019-07-20,2313
2019-07-21,2240
2019-07-22,2683
2019-07-23,2497
2019-07-24,1598
2019-07-25,901
2019-07-26,634
2019-07-27,2043
2019-07-28,990
2019-07-29,2147
2019-07-30,1905
2019-07-31,762
2019-08-01,1711
2019-08-02,1950
2019-08-03,1893
2019-08-04,2174
2019-08-05,1706
2019-08-06,1672
2019-08-07,1508
2019-08-08,1871
2019-08-09,1871
2019-08-10,2107
2019-08-11,1782
2019-08-12,725
2019-08-13,1528
2019-08-14,1536
2019-08-15,1266
2019-08-16,2415
2019-08-17,3828
2019-08-18,4425
2019-08-19,3032
2019-08-20,2777
2019-08-21,1767
2019-08-22,2650
2019-08-23,3316
2019-08-24,5286
2019-08-25,5437
2019-08-26,3338
2019-08-27,3214
2019-08-28,3217
2019-08-29,2148
2019-08-30,3698
2019-08-31,6127
2019-09-01,6256
2019-09-02,3512
2019-09-03,2029
2019-09-04,770
2019-09-05,772
2019-09-06,675
2019-09-07,424
2019-09-08,3148
2019-09-09,1701
2019-09-10,792
2019-09-11,2649
2019-09-12,1838
2019-09-13,5360
2019-09-14,3156
2019-09-15,5576
2019-09-16,3331
2019-09-17,3247
2019-09-18,3392
2019-09-19,3216
2019-09-20,3419
2019-09-21,4627
2019-09-22,1806
2019-09-23,3035
2019-09-24,3194
2019-09-25,3096
2019-09-26,2948
2019-09-27,3413
2019-09-28,5721
2019-09-29,5664
2019-09-30,3075
2019-10-01,2675
2019-10-02,795
2019-10-03,5045
2019-10-04,3900
2019-10-05,4968
2019-10-06,4830
2019-10-07,842
2019-10-08,2205
2019-10-09,5011
2019-10-10,2024
2019-10-11,2922
2019-10-12,4367
2019-10-13,4775
2019-10-14,1955
2019-10-15,2062
2019-10-16,2063
2019-10-17,1988
2019-10-18,2600
2019-10-19,4405
2019-10-20,4226
2019-10-21,2142
2019-10-22,2196
2019-10-23,2005
2019-10-24,2154
2019-10-25,2323
2019-10-26,2621
2019-10-27,3028
2019-10-28,1370
2019-10-29,1241
2019-10-30,1353
2019-10-31,1496
2019-11-01,1969
2019-11-02,2817
2019-11-03,3203
2019-11-04,1837
2019-11-05,1607
2019-11-06,1403
2019-11-07,1166
2019-11-08,1197
2019-11-09,2378
2019-11-10,1690
2019-11-11,1111
2019-11-12,1146
2019-11-13,591
2019-11-14,622
2019-11-15,376
2019-11-16,1523
2019-11-17,623
2019-11-18,538
2019-11-19,414
2019-11-20,527
2019-11-21,688
2019-11-22,1058
2019-11-23,2216
2019-11-24,996
2019-11-25,728
2019-11-26,920
2019-11-27,688
2019-11-28,712
2019-11-29,671
2019-11-30,1100
2019-12-01,457
2019-12-02,521
2019-12-03,441
2019-12-04,515
2019-12-05,339
2019-12-06,315
2019-12-07,437
2019-12-08,526
2019-12-09,416
2019-12-10,482
2019-12-11,423
2019-12-12,472
2019-12-13,434
2019-12-14,688
2019-12-15,1007
2019-12-16,803
2019-12-17,448
2019-12-18,514
2019-12-19,430
2019-12-20,436
2019-12-21,421
2019-12-22,729
2019-12-23,449
2019-12-24,524
2019-12-25,703
2019-12-26,450
2019-12-27,402
2019-12-28,627
2019-12-29,581
2019-12-30,368
2019-12-31,269
2020-01-01,509
2020-01-02,431
2020-01-03,530
2020-01-04,635
2020-01-05,709
2020-01-06,346
2020-01-07,158
2020-01-08,336
2020-01-09,403
2020-01-10,462
2020-01-11,565
2020-01-12,547
2020-01-13,463
2020-01-14,410
2020-01-15,393
2020-01-16,425
2020-01-17,432
2020-01-18,615
2020-01-19,468
2020-01-20,450
2020-01-21,462
2020-01-22,499
2020-01-23,616
2020-01-24,674
2020-01-25,804
2020-01-26,1143
2020-01-27,581
2020-01-28,606
2020-01-29,735
2020-01-30,803
2020-01-31,733
2020-02-01,832
2020-02-02,772
2020-02-03,573
2020-02-04,435
2020-02-05,268
2020-02-06,269
2020-02-07,359
2020-02-08,556
2020-02-09,725
2020-02-10,750
2020-02-11,1004
2020-02-12,381
2020-02-13,781
2020-02-14,1097
2020-02-15,1226
2020-02-16,348
2020-02-17,272
2020-02-18,462
2020-02-19,685
2020-02-20,878
2020-02-21,587
2020-02-22,563
2020-02-23,1133
2020-02-24,892
2020-02-25,428
2020-02-26,979
2020-02-27,1343
2020-02-28,395
2020-02-29,2253
2020-03-01,1529
2020-03-02,1398
2020-03-03,1334
2020-03-04,886
2020-03-05,1166
2020-03-06,1574
2020-03-07,3118
2020-03-08,5796
2020-03-09,3187
2020-03-10,681
2020-03-11,2127
2020-03-12,2437
2020-03-13,1895
2020-03-14,3098
2020-03-15,2653
2020-03-16,1725
2020-03-17,1859
2020-03-18,3633
2020-03-19,1128
2020-03-20,2734
2020-03-21,6250
2020-03-22,7846
2020-03-23,4766
2020-03-24,5146
2020-03-25,5340
2020-03-26,2385
2020-03-27,4037
2020-03-28,6759
2020-03-29,8839
2020-03-30,4720
2020-03-31,4998
2020-04-01,4345
2020-04-02,4321
2020-04-03,4690
2020-04-04,6339
2020-04-05,6151
2020-04-06,3783
2020-04-07,3735
2020-04-08,3456
2020-04-09,3327
2020-04-10,3560
2020-04-11,6299
2020-04-12,5502
2020-04-13,4030
2020-04-14,4334
2020-04-15,7850
2020-04-16,4102
2020-04-17,1613
2020-04-18,9192
2020-04-19,2392
2020-04-20,1730
2020-04-21,1660
2020-04-22,1222
2020-04-23,1818
2020-04-24,2566
2020-04-25,5580
2020-04-26,7939
2020-04-27,3192
2020-04-28,3571
2020-04-29,4042
2020-04-30,9115
2020-05-01,8178
2020-05-02,7871
2020-05-03,8406
2020-05-04,5871
2020-05-05,7347
2020-05-06,4163
2020-05-07,4000
2020-05-08,2257
2020-05-09,661
2020-05-10,4578
2020-05-11,2851
2020-05-12,2777
2020-05-13,3551
2020-05-14,3126
2020-05-15,812
2020-05-16,4010
2020-05-17,6547
2020-05-18,1216
2020-05-19,1813
2020-05-20,3119
2020-05-21,3522
2020-05-22,3375
2020-05-23,7303
2020-05-24,5666
2020-05-25,3590
2020-05-26,2042
2020-05-27,3845
2020-05-28,3646
2020-05-29,4113
2020-05-30,7279
2020-05-31,6427
2020-06-01,3779
2020-06-02,2169
2020-06-03,3390
2020-06-04,3031
2020-06-05,3986
2020-06-06,6553
2020-06-07,6282
2020-06-08,3365
2020-06-09,3107
2020-06-10,1551
2020-06-11,2635
2020-06-12,3190
2020-06-13,4179
2020-06-14,4989
2020-06-15,3195
2020-06-16,3085
2020-06-17,3204
2020-06-18,3350
2020-06-19,3634
2020-06-20,5871
2020-06-21,5070
2020-06-22,2786
2020-06-23,2534
2020-06-24,1372
2020-06-25,1591
2020-06-26,3602
2020-06-27,7049
2020-06-28,6982
2020-06-29,2609
2020-06-30,2041
