date,dust
2016-06-03,48.35897435897436
2016-06-04,54.666666666666664
2016-06-05,52.02564102564103
2016-06-06,24.81578947368421
2016-06-07,44.94871794871795
2016-06-08,39.92307692307692
2016-06-09,55.35897435897436
2016-06-10,62.205128205128204
2016-06-11,50.23076923076923
2016-06-12,31.763157894736842
2016-06-13,64.66666666666667
2016-06-14,53.46153846153846
2016-06-15,37.82051282051282
2016-06-16,33.12820512820513
2016-06-17,56.02564102564103
2016-06-18,68.02564102564102
2016-06-19,42.12820512820513
2016-06-20,54.256410256410255
2016-06-21,65.56410256410257
2016-06-22,71.3076923076923
2016-06-23,47.51282051282051
2016-06-24,55.21052631578947
2016-06-25,34.432432432432435
2016-06-26,32.2972972972973
2016-06-27,37.36842105263158
2016-06-28,62.55263157894737
2016-06-29,39.39473684210526
2016-06-30,31.63157894736842
2016-07-01,22.973684210526315
2016-07-02,15.864864864864865
2016-07-03,43.648648648648646
2016-07-04,23.157894736842106
2016-07-05,15.342105263157896
2016-07-06,19.710526315789473
2016-07-07,44.84615384615385
2016-07-08,58.41025641025641
2016-07-09,40.58974358974359
2016-07-10,37.12820512820513
2016-07-11,57.05128205128205
2016-07-12,39.92307692307692
2016-07-13,32.58974358974359
2016-07-14,31.473684210526315
2016-07-15,21.342105263157894
2016-07-16,10.842105263157896
2016-07-17,15.868421052631579
2016-07-18,29.763157894736842
2016-07-19,38.5945945945946
2016-07-20,38.361111111111114
2016-07-21,32.69230769230769
2016-07-22,37.666666666666664
2016-07-23,43.28947368421053
2016-07-24,39.58974358974359
2016-07-25,44.64102564102564
2016-07-26,35.07692307692308
2016-07-27,36.333333333333336
2016-07-28,58.53846153846154
2016-07-29,47.23076923076923
2016-07-30,45.64102564102564
2016-07-31,39.94871794871795
2016-08-01,34.94871794871795
2016-08-02,29.666666666666668
2016-08-03,31.794871794871796
2016-08-04,34.69230769230769
2016-08-05,43.56410256410256
2016-08-06,60.51282051282051
2016-08-07,37.89473684210526
2016-08-08,41.48717948717949
2016-08-09,35.8974358974359
2016-08-10,67.58974358974359
2016-08-11,34.84615384615385
2016-08-12,44.82051282051282
2016-08-13,38.205128205128204
2016-08-14,37.82051282051282
2016-08-15,38.69230769230769
2016-08-16,49.23076923076923
2016-08-17,44.30769230769231
2016-08-18,57.58974358974359
2016-08-19,65.46153846153847
2016-08-20,36.05128205128205
2016-08-21,29.58974358974359
2016-08-22,32.078947368421055
2016-08-23,37.205128205128204
2016-08-24,37.84615384615385
2016-08-25,32.666666666666664
2016-08-26,16.512820512820515
2016-08-27,16.0
2016-08-28,12.897435897435898
2016-08-29,19.435897435897434
2016-08-30,30.28205128205128
2016-08-31,20.736842105263158
2016-09-01,64.25641025641026
2016-09-02,35.61538461538461
2016-09-03,24.128205128205128
2016-09-04,24.23076923076923
2016-09-05,33.743589743589745
2016-09-06,60.717948717948715
2016-09-07,78.58974358974359
2016-09-08,50.794871794871796
2016-09-09,45.15384615384615
2016-09-10,45.1025641025641
2016-09-11,41.12820512820513
2016-09-12,32.23076923076923
2016-09-13,21.05128205128205
2016-09-14,33.94871794871795
2016-09-15,42.43589743589744
2016-09-16,52.48717948717949
2016-09-17,30.82051282051282
2016-09-18,24.487179487179485
2016-09-19,15.384615384615385
2016-09-20,20.53846153846154
2016-09-21,35.61538461538461
2016-09-22,42.02564102564103
2016-09-23,53.35897435897436
2016-09-24,63.4054054054054
2016-09-25,54.75675675675676
2016-09-26,47.78378378378378
2016-09-27,38.054054054054056
2016-09-28,38.78378378378378
2016-09-29,16.72972972972973
2016-09-30,33.729729729729726
2016-10-01,48.16216216216216
2016-10-02,30.18918918918919
2016-10-03,18.945945945945947
2016-10-04,32.945945945945944
2016-10-05,28.756756756756758
2016-10-06,40.60526315789474
2016-10-07,28.68421052631579
2016-10-08,23.05263157894737
2016-10-09,19.473684210526315
2016-10-10,29.57894736842105
2016-10-11,46.270270270270274
2016-10-12,57.16216216216216
2016-10-13,45.026315789473685
2016-10-14,74.63157894736842
2016-10-15,82.21052631578948
2016-10-16,56.21052631578947
2016-10-17,53.89473684210526
2016-10-18,57.81578947368421
2016-10-19,66.8157894736842
2016-10-20,67.6842105263158
2016-10-21,26.871794871794872
2016-10-22,32.46153846153846
2016-10-23,13.58974358974359
2016-10-24,19.512820512820515
2016-10-25,18.657894736842106
2016-10-26,44.82051282051282
2016-10-27,47.23076923076923
2016-10-28,39.94871794871795
2016-10-29,36.8974358974359
2016-10-30,28.0
2016-10-31,31.46153846153846
2016-11-01,24.974358974358974
2016-11-02,37.78947368421053
2016-11-03,44.73684210526316
2016-11-04,63.078947368421055
2016-11-05,77.89473684210526
2016-11-06,35.0
2016-11-07,36.63157894736842
2016-11-08,65.36842105263158
2016-11-09,43.026315789473685
2016-11-10,43.89473684210526
2016-11-11,52.55263157894737
2016-11-12,77.66666666666667
2016-11-13,64.82352941176471
2016-11-14,55.73684210526316
2016-11-15,59.84615384615385
2016-11-16,56.97435897435897
2016-11-17,76.46153846153847
2016-11-18,97.0
2016-11-19,59.026315789473685
2016-11-20,45.30769230769231
2016-11-21,65.97435897435898
2016-11-22,43.92307692307692
2016-11-23,40.256410256410255
2016-11-24,28.82051282051282
2016-11-25,41.76923076923077
2016-11-26,56.15384615384615
2016-11-27,73.58974358974359
2016-11-28,84.12820512820512
2016-11-29,42.921052631578945
2016-11-30,48.078947368421055
2016-12-01,52.71052631578947
2016-12-02,39.717948717948715
2016-12-03,56.97435897435897
2016-12-04,83.33333333333333
2016-12-05,88.23076923076923
2016-12-06,27.846153846153847
2016-12-07,53.58974358974359
2016-12-08,60.205128205128204
2016-12-09,36.15384615384615
2016-12-10,36.43589743589744
2016-12-11,36.84615384615385
2016-12-12,49.1025641025641
2016-12-13,64.57894736842105
2016-12-14,54.94736842105263
2016-12-15,36.39473684210526
2016-12-16,35.51282051282051
2016-12-17,62.51282051282051
2016-12-18,52.35897435897436
2016-12-19,42.17948717948718
2016-12-20,57.38461538461539
2016-12-21,43.30769230769231
2016-12-22,30.897435897435898
2016-12-23,54.256410256410255
2016-12-24,70.39473684210526
2016-12-25,59.35897435897436
2016-12-26,53.46153846153846
2016-12-27,43.46153846153846
2016-12-28,47.05128205128205
2016-12-29,37.53846153846154
2016-12-30,45.0
2016-12-31,60.41025641025641
2017-01-01,80.41025641025641
2017-01-02,113.97435897435898
2017-01-03,80.94871794871794
2017-01-04,58.35897435897436
2017-01-05,38.76923076923077
2017-01-06,23.743589743589745
2017-01-07,57.97435897435897
2017-01-08,34.51282051282051
2017-01-09,61.333333333333336
2017-01-10,33.12820512820513
2017-01-11,26.692307692307693
