date,count,rain,dust,temp,holiday,user,week
2017-07-17,16632,7.5,25.71794871794872,26.8,1.0,1108,0
2017-07-18,16138,2.5,29.923076923076927,26.5,0.0,905,1
2017-07-19,18383,0.0,42.333333333333336,28.3,0.0,1056,2
2017-07-20,17612,0.0,56.56410256410256,29.9,0.0,1024,3
2017-07-21,16815,0.0,64.69230769230771,29.8,0.0,826,4
2017-07-22,10712,0.5,61.358974358974365,29.3,0.0,753,5
2017-07-23,8298,133.5,53.46153846153846,27.0,0.0,627,6
2017-07-24,14039,3.0,38.230769230769226,26.2,0.0,810,0
2017-07-25,17854,0.0,30.41025641025641,29.4,0.0,949,1
2017-07-26,19010,0.0,21.794871794871803,28.7,0.0,1066,2
2017-07-27,16732,3.5,32.384615384615394,27.1,0.0,940,3
2017-07-28,10194,8.5,33.333333333333336,25.5,0.0,560,4
2017-07-29,17140,0.0,18.487179487179485,27.2,0.0,1530,5
2017-07-30,16187,0.0,25.07692307692308,27.9,0.0,1561,6
2017-07-31,12144,3.5,24.871794871794872,25.7,0.0,797,0
2017-08-01,18392,2.0,25.487179487179485,28.6,0.0,1123,1
2017-08-02,17672,0.0,40.0,30.0,0.0,995,2
2017-08-03,18168,0.0,28.153846153846153,30.2,0.0,989,3
2017-08-04,17444,0.0,30.35897435897436,30.3,0.0,952,4
2017-08-05,13103,0.0,34.7948717948718,31.4,0.0,902,5
2017-08-06,12510,5.0,28.63157894736842,29.8,0.0,987,6
2017-08-07,18359,0.0,36.615384615384606,29.2,0.0,998,0
2017-08-08,20578,0.0,46.051282051282044,28.2,0.0,1332,1
2017-08-09,19509,2.5,37.282051282051285,27.6,0.0,1092,2
2017-08-10,6701,5.5,10.333333333333334,24.8,0.0,456,3
2017-08-11,17577,0.5,13.461538461538463,27.0,0.0,953,4
2017-08-12,18542,0.0,13.205128205128204,27.8,0.0,1592,5
2017-08-13,18907,0.0,11.948717948717947,26.3,0.0,2072,6
2017-08-14,12150,1.5,11.589743589743591,24.6,0.0,946,0
2017-08-15,2457,93.5,8.128205128205128,21.9,1.0,865,1
