date,count,shift1,rain,dust,temp,holiday,user,week,predict
2017-05-10,12102,6778.0,2.5,46.87179487179486,16.4,0.0,771,2,11634.0078125
2017-05-11,13612,12102.0,0.0,75.69230769230771,19.3,0.0,989,3,14428.1357421875
2017-05-12,12841,13612.0,0.0,77.92307692307692,19.1,0.0,967,4,13215.9072265625
2017-05-13,8333,12841.0,6.0,54.23076923076921,16.4,0.0,1216,5,10265.2041015625
2017-05-14,15272,8333.0,0.0,60.794871794871796,15.7,0.0,3483,6,21396.228515625
2017-05-15,14115,15272.0,0.0,46.66666666666666,16.0,0.0,1168,0,10064.736328125
2017-05-16,15270,14115.0,0.0,38.0,17.1,0.0,1226,1,15809.58984375
2017-05-17,15502,15270.0,0.0,41.74358974358975,18.7,0.0,1328,2,16187.7421875
2017-05-18,15977,15502.0,0.0,51.23076923076921,20.4,0.0,1354,3,16566.822265625
2017-05-19,15877,15977.0,0.0,49.92307692307693,21.1,0.0,1514,4,17998.51171875
2017-05-20,16654,15877.0,0.0,42.0,20.9,0.0,2579,5,18444.75390625
2017-05-21,17757,16654.0,0.0,34.17948717948718,21.5,0.0,2983,6,19530.60546875
2017-05-22,17070,17757.0,0.0,45.97435897435897,21.8,0.0,1642,0,16967.044921875
2017-05-23,10174,17070.0,5.0,38.641025641025635,20.0,0.0,924,1,12718.724609375
2017-05-24,17115,10174.0,0.1,29.64102564102564,21.8,0.0,1323,2,14882.2490234375
2017-05-25,16387,17115.0,0.0,41.07692307692308,19.2,0.0,1239,3,16426.423828125
2017-05-26,17966,16387.0,0.0,27.0,17.7,0.0,1638,4,20196.38671875
2017-05-27,18286,17966.0,0.0,36.05128205128205,19.5,0.0,2631,5,20546.251953125
2017-05-28,18005,18286.0,0.0,48.256410256410255,21.2,0.0,2746,6,18356.447265625
2017-05-29,17619,18005.0,0.0,72.2051282051282,22.9,0.0,1488,0,16740.078125
2017-05-30,17703,17619.0,0.0,52.74358974358975,23.6,0.0,1303,1,18137.978515625
2017-05-31,17937,17703.0,0.0,40.769230769230774,23.3,0.0,1368,2,18371.85546875
2017-06-01,17693,17937.0,0.0,40.66666666666666,23.3,0.0,1385,3,19165.36328125
2017-06-02,11994,17693.0,0.0,30.89743589743589,20.5,0.0,1301,4,17532.267578125
2017-06-03,19353,11994.0,0.0,34.05128205128205,20.5,0.0,2771,5,18148.12890625
2017-06-04,19225,19353.0,0.0,30.948717948717945,21.7,0.0,2940,6,20063.19921875
2017-06-05,19443,19225.0,0.0,29.23076923076923,24.2,0.0,2048,0,22999.193359375
2017-06-06,7604,19443.0,15.5,23.025641025641022,19.4,1.0,1247,1,11402.9404296875
2017-06-07,8644,7604.0,12.5,18.33333333333333,17.6,0.0,667,2,9689.3076171875
2017-06-08,18859,8644.0,0.0,47.42105263157895,20.1,0.0,1307,3,15450.3310546875
2017-06-09,18356,18859.0,0.1,63.73684210526316,21.2,0.0,1443,4,19217.125
2017-06-10,19865,18356.0,4.5,52.07894736842106,21.5,0.0,2666,5,20359.009765625
2017-06-11,19524,19865.0,0.0,32.07894736842105,22.8,0.0,2828,6,22186.669921875
2017-06-12,19588,19524.0,0.0,33.631578947368425,22.1,0.0,1539,0,19394.48828125
2017-06-13,19196,19588.0,0.0,39.51282051282049,21.5,0.0,1489,1,21116.65234375
2017-06-14,19692,19196.0,0.0,46.769230769230774,21.8,0.0,1419,2,18178.54296875
2017-06-15,19520,19692.0,0.0,54.33333333333334,23.1,0.0,1495,3,21100.15234375
2017-06-16,19954,19520.0,0.0,71.23076923076924,25.5,0.0,1555,4,20135.615234375
