가입일자,사용자코드,연령대코드,성별,가입 수
2019-12-30,회원-내국인,AGE_004,M,32
2019-12-30,회원-내국인,AGE_005,F,5
2019-12-30,회원-내국인,AGE_005,M,10
2019-12-30,회원-내국인,AGE_006,F,1
2019-12-30,회원-내국인,AGE_006,M,4
2019-12-31,회원-내국인,AGE_001,F,20
2019-12-31,회원-내국인,AGE_001,M,32
2019-12-31,회원-내국인,AGE_002,F,40
2019-12-31,회원-내국인,AGE_002,M,75
2019-12-31,회원-내국인,AGE_003,F,15
2019-12-31,회원-내국인,AGE_003,M,28
2019-12-31,회원-내국인,AGE_004,F,8
2019-12-31,회원-내국인,AGE_004,M,27
2019-12-31,회원-내국인,AGE_005,F,5
2019-12-31,회원-내국인,AGE_005,M,7
2019-12-31,회원-내국인,AGE_006,F,3
2019-12-31,회원-내국인,AGE_006,M,6
2019-12-31,회원-내국인,AGE_007,F,1
2019-12-31,회원-내국인,AGE_007,M,2
2020-01-01,회원-내국인,AGE_001,F,39
2020-01-01,회원-내국인,AGE_001,M,56
2020-01-01,회원-내국인,AGE_002,F,102
2020-01-01,회원-내국인,AGE_002,M,123
2020-01-01,회원-내국인,AGE_003,F,28
2020-01-01,회원-내국인,AGE_003,M,51
2020-01-01,회원-내국인,AGE_004,F,21
2020-01-01,회원-내국인,AGE_004,M,46
2020-01-01,회원-내국인,AGE_005,F,7
2020-01-01,회원-내국인,AGE_005,M,19
2020-01-01,회원-내국인,AGE_006,F,3
2020-01-01,회원-내국인,AGE_006,M,11
2020-01-01,회원-내국인,AGE_007,M,2
2020-01-01,회원-내국인,AGE_008,M,1
2020-01-02,회원-내국인,AGE_001,F,32
2020-01-02,회원-내국인,AGE_001,M,34
2020-01-02,회원-내국인,AGE_002,F,70
2020-01-02,회원-내국인,AGE_002,M,117
2020-01-02,회원-내국인,AGE_003,F,30
2020-01-02,회원-내국인,AGE_003,M,45
2020-01-02,회원-내국인,AGE_004,F,19
2020-01-02,회원-내국인,AGE_004,M,45
2020-01-02,회원-내국인,AGE_005,F,8
2020-01-02,회원-내국인,AGE_005,M,23
2020-01-02,회원-내국인,AGE_006,F,2
2020-01-02,회원-내국인,AGE_006,M,2
2020-01-02,회원-내국인,AGE_007,M,3
2020-01-02,회원-내국인,AGE_008,F,1
2020-01-03,회원-내국인,AGE_001,F,36
2020-01-03,회원-내국인,AGE_001,M,43
2020-01-03,회원-내국인,AGE_002,F,95
2020-01-03,회원-내국인,AGE_002,M,127
2020-01-03,회원-내국인,AGE_003,F,36
2020-01-03,회원-내국인,AGE_003,M,73
2020-01-03,회원-내국인,AGE_004,F,29
2020-01-03,회원-내국인,AGE_004,M,35
2020-01-03,회원-내국인,AGE_005,F,12
2020-01-03,회원-내국인,AGE_005,M,29
2020-01-03,회원-내국인,AGE_006,F,2
2020-01-03,회원-내국인,AGE_006,M,8
2020-01-03,회원-내국인,AGE_007,F,1
2020-01-03,회원-내국인,AGE_007,M,3
2020-01-03,회원-내국인,AGE_008,F,1
2020-01-04,회원-내국인,AGE_001,F,42
2020-01-04,회원-내국인,AGE_001,M,57
2020-01-04,회원-내국인,AGE_002,F,127
2020-01-04,회원-내국인,AGE_002,M,153
2020-01-04,회원-내국인,AGE_003,F,53
